target,source,cosine_similarity,dialect
"أنا فقط أظن, أنك تعلمين شيئا؟",متقولليش إنك ماعرفتش؟,0.8877003,Egyptian
أظنني سأحتسي الشراب معكما,أنا فاكرك هتجيب حاجة أشربها,0.887692,Egyptian
إن وجدت أيّ شئ.اتصل بنا.,لو لقيت أي حاجة، اتصل بينا,0.88768935,Egyptian
من منكم فعلها ؟ من منكم قتل كلبى ؟,مين منكم عبداها ؟ مين منكم قتل كلبي ؟,0.88768744,Egyptian
أتعرف؟ هذه هي المرّة الأولى... التي نتناول بها العشاء معاً منذ عيد ميلاد أمي,بتعرف؟ ده اول مرة... نتعشى فيها سوا من عيد ميلاد أمي,0.8876725,Egyptian
ألا يزال يعمل في الجيش؟,لسه بيشتغل فى الجيش؟,0.8876678,Egyptian
حسناً، هل تعرف ما أظن؟,طيب ما رأيك؟,0.8876664,Egyptian
كنت لا أعتقد أنني سوف أعطيك بندقية محملة الرصاص الحقيقي، هل؟,أنا مش فاكرك هأديك مسدس حقيقي عليه رصاص حقيقي، صح؟,0.8876395,Egyptian
أنتظر ، هل هناك شاى مثلج هنا ؟,ما بلاش اكون سكبت الشاى,0.88763183,Egyptian
نعم، ولكن إذا كانت الجسيمات من الشمس لقطع، و 100 مليون شخص سيكون قد ينظر إليه.,اه، بس لو الجسيمات ديه من الشمس اتقطعت، و 100 مليون واحد كانوا هيشوفوها.,0.8876142,Egyptian
- لا اعرف ماذا تعنين ؟,انت مش فاهم ده يعنى ايه صح؟,0.88759655,Egyptian
كانت هذه في جيبه عندما جعلنا من الاعتقال.,كانت دي في جيبه لما قبضنا عليه.,0.88757896,Egyptian
"لقد جئنا هنا للتحدث فحسب, جاك",إحنا جينا هنا عشان نتكلم بس، يا جاك,0.88756114,Egyptian
لكنيفعلت،فعلتلأنني..,تمام، وأنا باشوف أنه كنت أنا,0.8875507,Egyptian
لا ، لا ، ليس تلك,لا، مش فاكر,0.8875377,Egyptian
لا، أعتقد، اه... أعتقد أنني فقط أريد أن يكون وحده في الوقت الحالي.,أنا بس... عايز أبقى لوحدى.,0.8875352,Egyptian
حسنا، إذن، دعونا نأمل أن تحل مشكلتك قليلا، جريج.,كويس، يبقى نتمنا ان مشكلتك تتفك شوية يا جريج,0.88752866,Egyptian
سنخرجك من هنا,تعالى نمشي من هنا,0.8875203,Egyptian
- نعم، انه لا يعرف حقا من ذلك بكثير.,هو مش عارف عاوز ايه,0.88751423,Egyptian
سيدي انه في المبنيِ الآن,سيدي موجود في البناية دي دلوقتي,0.8875038,Egyptian
حسنا، وكان ما يقرب من ستة أشهر.,كان ده من ست شهور يا أما,0.8875004,Egyptian
.لكن هُنالِكَ أمرٌ عليكَ فعلهُ أولاً,لكن أول حاجة لازم اكلمك,0.8874835,Egyptian
-والدك ضابط شرطة يا بنيّ، وهو يساعد الناس,أبوك ضابط بوليس يا ابني وهو بيخدم الناس,0.88748306,Egyptian
لكن الآن بالطبع، انه متأخر جداً بالنسبة لي.,فوت الأوان,0.8874797,Egyptian
عندما سمع اسمي قال:,لما سمع أسمي قالي,0.8874774,Egyptian
ولكن اسمح لي بتوجيه بعض الأسئلة لك,خليني أسألك كام سؤال,0.887465,Egyptian
-يجب أنْ نحصل عليه، دعيني أتحدّث معه,متسبنيش عليا وسيبني اتكلم معاه,0.8874404,Egyptian
أشعر أنّي بفيلم خيالي غريب,حسّ إنّي بعيش في فيلم خيال علمي غريب,0.88741463,Egyptian
نعم انا وانت معا، اختى,آه، أنا وأنتي سوا يا إختي,0.88738436,Egyptian
عرفت أنهم سيكونون هناك,عرفت أنهم حايكونوا هناك,0.88738304,Egyptian
لا بد أنهم آلاف، عشرات الآلاف,أكيد ملايين وعشرات ملايين,0.88733387,Egyptian
كنت مُجبَرة لفعل ذلك كان علي أن أحميهم من ذلك,كنت مضطرة اعمل كده علشان احميهم منه,0.88732064,Egyptian
اسمع، لن أقول أنك أخبرتني,أنا مش قولت اللي بتقوليه,0.8873167,Egyptian
تلك الكاميرات هل قاموا بتسجيل جريمة القتل؟,الكاميرات دول صوّرت الجريمة؟,0.88731366,Egyptian
! أخرجوا الجميع من هنا في الحال !,يلا بينا نمشي من هنا، حالا!,0.887306,Egyptian
أنتم تتصرفون كأنكم في 12 من عمركم!,أنتم بتتصرفوا بالعقلية بتاعت عيال 12 سنة!,0.8872623,Egyptian
"علي فعل ذلك, علي فعل ذلك - !",- عليَّ الاقيها.,0.8872194,Egyptian
"لكن , ما رأيك في الغد تعال بالطبع",-متنساش غداك,0.8872084,Egyptian
الا ترى، نحن في هذا سوية، نيك، أنت و انا؟,انتا مش شايف، احنا في ده سوا، نيك، انت و انا؟,0.8871962,Egyptian
شكراً لك مرة أخرى لمقابلتي، سيدي,بشكرك يا فندم عشان قابلتني تاني,0.88717484,Egyptian
اعتقد بأنكِ مُستعدة أنا أثقُ بكِ,انا معرفكش..ومش قادرة اثق فيك,0.88712466,Egyptian
كلا يا آنسة كانت فتاة أخرى,أبدا يا آنسة كانت صبية تانية,0.8871127,Egyptian
أنا سعيدة لكوني هنا,أنا سعيدة بأنكم كلكم معايا هنا,0.8871119,Egyptian
اسمعي، أُريدكِ أن تعرفي أنني... أحترمكِ,اسمعي يا عمري، عاوزكِ تعرفي اني.. بحترمك جداً,0.88710207,Egyptian
سأعطيك فرصة أخيرة,بس اتوسلناك دي فرصة تانية,0.88707554,Egyptian
"جميعنا في هذه الغرفة أنت , أنا , كل من بالمدينة",كلنا في الأوضة دي انتي، أنا، اللى في المدينه كلها,0.8870511,Egyptian
أمّاه، عندما كنا في المنتزه,ماما لما كنا فى الحديقة,0.88704073,Egyptian
وبأنّه حتّى بعد أن عدتِ إلى الواقع... ستستمرّين في الاعتقاد بأنّ عالمكِ لم يكن حقيقيّاً,...وإنك حتّي بعد ما اتعدتي للواقع... حتفضلي عايشه بان عالمك مش حقيقي,0.8870393,Egyptian
يبدو أنكٍ حصلتي علية,طيب هات اللي انت عاوزه,0.887027,Egyptian
حسنٌ، سأخبر أبي بأنّك هنا وعندها سأعود لما كنت أفعله,تمام، هقول لأبويا إنك جاي دلوقتي وأرجع أكمل اللي كنت بعملو,0.88701975,Egyptian
المتواجدون فقدت للتو احترام طفلها الذي لم يولد بعد.,المتواجدين، للأسف فقدت للتو احترام طفلي غير المولد بعد.,0.8869935,Egyptian
-أنتِ لا تعلمين ماذا فعل,مش عارف بالظبط قصِدك إيه,0.88696396,Egyptian
. رائع ، هو يستطيع مساعدتنا,هو هيقدر يعملهالنا كويس,0.886959,Egyptian
دع الأخ يرى النور,خلى الأخ يشوف النور,0.8869576,Egyptian
ثم ... كيف نصل إلى المستشفى؟,عاوزين نروح المستشفى ازاى ؟,0.8869569,Egyptian
-تقصدين من هو؟,-ده اللي عايزاه؟,0.8869318,Egyptian
- سوف يأتون من أجلكِ,هنكون عندك بعد شوية,0.8869178,Egyptian
"أعرف طريقة تفكيره , هذا كل شيء",اكيد انا بعرفه مين هو,0.88691217,Egyptian
أشكركما، حقا، حقا، من أعمق أعماق قلبي، أشكركما,شكرآك انا متشكرلك جدآ,0.886899,Egyptian
تماماً كما تظاهر أبوك بأنه والد صالح,ماكانتش ليها أب كمان,0.8868803,Egyptian
أنا متأكده من أنك سوف تفعل الشيء الصحيح.,أنا متأكدة أنك هتعمل الصح.,0.8868507,Egyptian
لذا، أنا فقط سأتحدث معه.,عايز أتكلم معاه.,0.88682675,Egyptian
- عما أتحدث؟ -,-ما عاوزش أتكلم فى الموضوع ده,0.8868253,Egyptian
هذا ليس عدلاً - قولي ذلك للقاضي -,ده مش عدل يا سيدي القاضي,0.8868145,Egyptian
لماذا الا يمكنني ان اخبرك انني احبك في بعض الاحيان؟,ليه ما اقدرش اقولك بحبك في بعض الاحيان؟,0.8868097,Egyptian
أنت أتصلتي بي وطلبتي أن آتي لهنا,مقلتش لأهلي ان حضرتك الي كنت بتتصل,0.88679975,Egyptian
"لقد اتصل بك رجل مدعياً أنه عمل بوزارة الدفاع,",راجل اتصل بيك بيقولك انه بيشتغل في وزارة الدفاع,0.8867997,Egyptian
كتيبة الطيران رقم 206 جاهزة للهجوم الثالث.,سرب الطيران 206 مستعد للهجوم التالت.,0.886781,Egyptian
"حسنا, هذا للآن فقط",طيب، ده للوقت ده بس,0.88673645,Egyptian
"في الواقع , أنا لست أجمل فتاه في العالم",فى الحقيقة، أنا مش أحلى بنت فى الدنيا,0.8867092,Egyptian
ألق المسدس- أطلق النار أطلق-,الطلقات دي نار؟,0.88659453,Egyptian
لكن أتريدين صور مجانية.. صحيح؟,بس انتي عايزة صور مجانية صح ؟,0.88659286,Egyptian
أنا ممتن لكل لحظة لديّ,أنا شاكر لكل ثانية عندي,0.8865918,Egyptian
تعالي إلى هنا ماذا؟,"تعالى هنا, بتعمل إيه؟",0.8865728,Egyptian
"أتعلم ماذا؟ , لمَ لا تحاول التوقف عن السيطرة على كل شيء يا (جاك)؟",تعرف ايه؟ ليه ما تحاولش تتبطل السيطرة دي على كل حاجه يا (جاك),0.88657165,Egyptian
يجب أن أكون في القائمة لـ الإجتماع,أنا لازم أكون موجود في القايمة للاجتماع,0.8865706,Egyptian
أنا فخورة بكم جميعاً,أنا فخورة بيكوا كلكم,0.88656485,Egyptian
أو أحد من مساعديك فعل ذلك.,أو واحد من مساعدينك عمل كده,0.8865509,Egyptian
أنتيِ لا تعرفيني إنها المرة الأولى لي هنا,أنتي مش عارفة أنا مين دي أول مرة أجى هنا,0.8865417,Egyptian
كلّ من بالخارجِ هنالكَ يظنني محامٍ.,اللي برا كله بيحسبي محامي,0.88652706,Egyptian
لا يهمني عن تلك الأشياء.,بجد مش يهمني,0.88651717,Egyptian
أجل، ذلك أنا!,آه، ده أنا,0.88650984,Egyptian
لكن لا أستطيع تركك تفعلي هذا,انت مش قادر ترد عليا,0.88649845,Egyptian
هل أنت في المساكن الجديدة؟,انت ساكن ف العمارات الجديده؟,0.88645804,Egyptian
لهذا أنت عليك قول قصتي,نفسي بحكايتك,0.8864422,Egyptian
نعم، ولكن حصلت طموح قليلا.,آه، لكن طلعت طموح صغيرة,0.8864411,Egyptian
لكنْ هل يعرف كم لديكِ ليحبّه؟,إنته تحبى كده هو كده مش كده ؟,0.8864311,Egyptian
"تخيل أن هناك بعض الطرق نستطيع من خلالها الطبع في الذهن اوالتزيين في البنية الأساسية للحمض النووي مع نوع من الرسالة, في طريقة ما التي لم يتوصّل بها إلى حلّ وسط",أننا إتصور أن فيه طُرُق نُطبع بيها في العقل أو تزوّد في البُنية التحتية لـ الـ DNA مع نوع من الرسايل بطريقة ما ما اتوصلوش لـ حل وسط,0.88642895,Egyptian
سوف اقوم باخبارك بشىء,عايز أقولك حاجة,0.8863944,Egyptian
في ذلك المكان ،، اين كنت ؟,في إيه المكان ده،، إنت كنت فين؟,0.8863838,Egyptian
اظن انه سأقوم بمضاعفة ساعات العيادة لديك 3 مرات؟,فكّر إنى هزودلك مواعيد العيادة عندك مرة 3؟,0.8863731,Egyptian
"كنت خائفة جداً , يا رفاق كنت خائفة جداً جداً",كنت خايف عليكى جداً,0.8863589,Egyptian
ــ من يريد شراباً؟,عايزه تشربي مشروب؟,0.8863553,Egyptian
انت تعرف ما يتوجب عليك ان تفعل,انت عارف كويس لازم تعمل ايه,0.8863324,Egyptian
يا إلهي أنت كريم جدا.لطيف للغاية,أنت دايما حلوة أوي و مهذبة جدًا,0.8863187,Egyptian
غير محتمل علمياً لكن في العالم الحقيقي، مستحيل,مش متحمل علميًا بس في العالم الواقعي مستحيل,0.8862294,Egyptian
حسناً، سأتناول تفاحة,تمام، هاخد تفاحة,0.8862103,Egyptian
الكثير مِنْ الناسِ إعرفْني أفضل مِنْك.,الناس كتير تعرفني أكتر منك,0.88620937,Egyptian
لأنه كان اكثر يوم مميزا في حياتي,أهم يوم في حياتك,0.8862037,Egyptian
"حسناً يا رفاق , دعونا نتحرك سيتأخر الوقت",تعالى يا جدع، دعينا نمشي عشان متتأخرش,0.886194,Egyptian
سنقوم بأقفال الأبواب، لذلك مهما كان بالخارج لن يستيطع الدخول هنا.,حنخلي الأبواب مقفولة، فمرموش برا مهما كان مش هايعرف يدخل هنا.,0.8861876,Egyptian
كل شئ على ما يرام - هيا الآن أسرعوا -,تمام، كل حاجه هتكون تمام,0.8861855,Egyptian
هذا قد يكون الشيء الوحيد الذي تستطيعون قوله لهم,ادى ممكن يكون الكلام الوحيد اللى تقولو لهم,0.8861426,Egyptian
حسنا حسنا ياإلهي,أيوه. والله ما قدرش.,0.8861195,Egyptian
ماذا إذا كان لديكِ مفتاح,- ممكن اديلك المفتاح تاني؟,0.8860903,Egyptian
قل قضيت يوماً رائعاً؟,على ما يرام يا يوم رائع دلوقتى,0.8860865,Egyptian
سيصبح بيتها لعدّة أشهر قادمة.,بيتها هيكون بيتها لعدة شهور جاية.,0.8860608,Egyptian
يمكننى ان اقول اننى كنت المحارب الذهبى الاصلى,إنّي افتخر بأنّي كنت المحارب الذهبي الأصلي,0.88604546,Egyptian
أضواء صفراء تحذر المخلوقات الأخرى للحفاظ على الخروج من طريقها.,أنوار صفرا بتحذّر المخلوقات التانية تحافظ على المخارج من طريقها.,0.8860377,Egyptian
يبدو أن الناس يستجيبون بشكل جيد إلى العم فرانك.,بيّن الناس إنّهم بيستجيبوا كويس لعم فرانك.,0.8860123,Egyptian
أنا ممثل جيد، صحيح؟,أنا ممثل شاطر، صح؟,0.88597786,Egyptian
من يذهب إلى المستشفى للراحة؟,مين بيروح المستشفى عشان يرتاح؟,0.88597006,Egyptian
-حسنا خلال الأشهر الستة التالية,- تمام خلال الست شهور اللي جاية,0.88597,Egyptian
لكنّها ربّما يُمكنها مساعدتك,و هي ممكن تساعدك,0.88596094,Egyptian
أنتِ تقولين ذلك طول الوقت,دومًا بتقولي كده,0.88595223,Egyptian
-آمل ذلك لأنّه لن يغادر هذا المنزل حتى أعرف مالذي يجري حقّاً,-بأملي لأنه مش هيخرج من البيت ده لغاية ما أعرف حقيقة اللى بيحصل,0.88595104,Egyptian
قبل أن أذهب أيمكننى أن أسألك سؤالا ؟,قبل ما أمشي ممكن أسالك سؤال؟,0.88592327,Egyptian
-هل تقصدين من أحب؟ -من أحب؟,-إنتي بتقصدى من بحبه؟ -من بحبه؟,0.88592064,Egyptian
ماذا حدث للـ 500 الف دولار من التأمين على حياة (بول)؟,إيه اللي حصل في الـ500 ألف دولار تأمين الحياة بتاع بول ؟,0.8859166,Egyptian
فرانك كان وحيدآ مثلى تمامآ,فرانك كان وحيد أنا زيه بالظبط,0.88590753,Egyptian
حسناً ، ها نحن . هيا,تمام، وصلنا - شكراً لك,0.8858372,Egyptian
ألا توجد أسرة أخرى لكم في تشيكاغو؟,مفيش أهلك التانيه في شيكاغو؟,0.88578457,Egyptian
لماذا يَجِبُ أَنْ نَستمعَ إليك؟,ليه لازم نسمعك؟,0.8857502,Egyptian
..لقد قلت بأنك تريد قهوه حاره,دلوقتي أجيبلك قهوة؟,0.88575,Egyptian
نعم ، أعلم حسنا ، سأقابلك هناك,هقابلك هناك,0.8857349,Egyptian
"نعم , نعم , سيدي - أنه يقوم بعمل مذهل -",آه، آه، يا باشا - هو بيشتغل كويس -,0.88573265,Egyptian
لا أعرف ما تعني,ما أعرفش يعنى ايه,0.8857314,Egyptian
أوه، وأفضل جزء كان ذلك عندما أعطى اسمي على الباب، وليس لشخص واحد ويبدو أن يتعرف عليه.,آه، وأحلى حاجة لما داني اسمي على الباب، ولا واحد يبان أنه عرفه.,0.88572586,Egyptian
جعلنا ملائكة واعطانا حياة جديده,خلينا ملائكه واعطينا حياه جديده,0.885706,Egyptian
ولكن لست متأخره حقا، فقط قليلا,مش متأخر،صح؟,0.885689,Egyptian
لا أعتقد أنها فكرة جيدة,بعض الناس شايفين انها مش فكرة كويسة,0.8856698,Egyptian
أرى أنكم تحتفلون سأعود لاحقاً,آه ها ... طِيب مش هتِرجع تاني قريب,0.8856632,Egyptian
عند قدوم الليل سوف نذهب الى قمة هذه الجبال ثم غربا الى هذه المنطقه,أي ليلة هانروح لقمة الجبل دا و بعدين غرب لحد المنطقة دي.,0.88565403,Egyptian
ستدخل هنا ، وبعدها ماذا ؟,عايز تدخل؟,0.88563037,Egyptian
ماذا هل نسيت أن أدفع من أجل شيء ما؟,نسيت أدفع حاجه؟,0.88562834,Egyptian
-أراهن أنني سأثبت أنّي محق .,-أنا واثق إنّي هأثبت ليك إنّي صح.,0.8856249,Egyptian
ماذا يفعلون هناك؟,ما هنعمل ايه؟,0.8856168,Egyptian
هيا ارقص - علي أن أذهب -,تعالي نرقص - لازم امشي -,0.88559186,Egyptian
-لكنّها ستنقذ حياتك .,زي ما بتشوفي لما أنقذت حياتك,0.8855845,Egyptian
"حسنا, لقد احضرنا كل ما نملكه.",ما إحنا جهزنا كل حاجة بتاعتنا.,0.8855845,Egyptian
"هذا جيد, يُعجبني, واصل.",شوفي، الموضوع كله بيحب,0.88557935,Egyptian
ستذهبون إلى مدرسة جديدة وتكونون صداقات جديدة,هتروحوا مدرسة جديدة وتعملوا صداقات جديدة,0.885556,Egyptian
نعم، أنا على درجة 3 الحزام الأسود,اه والله أنا دلوقتى في الرتبة الثالثة للحزام الاسود,0.88553965,Egyptian
حسناً ولكن احذر.,وفى سبب تانى تبقى حذر,0.88552845,Egyptian
يمكنك التحقق من خطط الطيران.,تقدر تتأكد من خطة الطيران.,0.88552725,Egyptian
-و عليكِ شربه بالفعل؟,عاوز تشرب حاجة؟,0.88551736,Egyptian
سألتك ما فعلتم.,سألك مش عملت ايه,0.88549876,Egyptian
الحقيقة أن هذا قد يكون الوداع,بس بكره الوداع، فعشان كده من الأفضل ما نقولش حاجة,0.8854906,Egyptian
عندي صفحتين لإنهاء,عايز اخلص صفحتين,0.8854867,Egyptian
"هييي , دينا تعالي وتناولي شرابا معنا",-ياري تعالي اتشربي حاجه,0.885485,Egyptian
هل أخبرك الطبيب بأنه يمكنكِ أن تفعلين ذلك؟,الدكتور قالك ممكن تعملي كدا؟,0.88546443,Egyptian
خشيت أن يكون الوقت متأخرًا ثم رأيت نورك مضاءً,خفت الوقت يكون ازاز اوي و لاقيت النور بتاعك واطي,0.8854257,Egyptian
"يا بُنَي , أفتقدتك جـدا",أنا وأخواتك قد أفتقدناكِ,0.88540727,Egyptian
- ماذا أنت فاعل بحق الجحيم ؟,-ما تخش هنا أصلاً ؟,0.8853993,Egyptian
لقد كنت في رحلة هناك الربيع الماضي,كنت فى رحله هناك الربيع اللى فات,0.88539296,Egyptian
أنا ركضت طوال الطريق إلى البيت لننظر إليه معاً .,جريت على طول الطريق للبيت عشان نشوفه مع بعض.,0.8853853,Egyptian
توقف توقف يا إلهي,تعالى نوقف ده دلوقتى,0.88537145,Egyptian
نعم .. لكن هل كان ميت طبيا لثلاث دقائق ؟,اه .. بس كان ميت إكلينيكي لمدة 3 دقائق؟,0.8853146,Egyptian
يجب عليه أن يعترف بهزيمته سننتهي في الوقت المحدد,لازم يعترف بخسارته نخلص في الموعد,0.88529515,Egyptian
.. بإخباره كم أنا شاكر له لما فعل من أجلي؟,..بأقوله إني إزاي شاكرله على اللي عملهولي؟,0.8852732,Egyptian
كان قليلا قليلا للشرب، هاه؟,هو انت شربتي قد إيه ماية؟,0.88526183,Egyptian
نفس الأمر بالنسبة لك، حياتي لك يا (جوزيف),نفس الكلام بالنسبةلك انت ياحياتي ياجوزيف (يوزيف),0.88524854,Egyptian
ماذا تفعل؟,هتعملي ايه؟,0.885244,Egyptian
ما ستقولينه تالياً، أنّكِ لستِ عنصريّةً لأنّ لديكِ صديقاً أسود.,هتقولي دلوقتي إيه؟ هتقولي إني مش عنصرية لاني عندي صحابي أسود.,0.88524085,Egyptian
كنت ستحب جدي,كنت هتحب جدي,0.8852222,Egyptian
دائماً إتّصل بي .إذا إحتجتني,اتصل بيا لو محتاجني,0.88519967,Egyptian
أود التحدث اليه,عايز أتكلم معاه.,0.885197,Egyptian
أو ربما أنها تكذب إن بنات الدعارى كاذبات,هي بتكذب ـ وماله لو كذبت ـ,0.8851888,Egyptian
اظن اني سمعت شيئا.,أنا أطمى اني سمعت حاجة.,0.88517535,Egyptian
"(حسناً, الأمر بيني و بينها يا (بول",(ما بيني وبينها يا بول,0.8851678,Egyptian
لأنني خارج للتو من السجن,لأني طالع من السجن دلوقتي,0.8851514,Egyptian
ـ أريد فقط أن أطرح عليكِ بضعة أسئلة ـ كم سحتاجين من الوقت لتكلم معها؟,ـ عايزة بس اسألك كام سؤال ـ هتاخدي كام وقت علشان تتكلمي معاها؟,0.8851502,Egyptian
ذاهبة للعثور على ابنتنا!,رايحه نلاقي بنتنا!,0.88511795,Egyptian
لقد رأيته يُضرب على رأسه كان ذلك عنيفا ً للغاية,شفته بيتضرب على دماغة كان عنيف أوي,0.88508034,Egyptian
لذا إذا لا تمانعي، لدي عمل لأقوم به,عندي شغل كتير,0.885065,Egyptian
أتيتم إلى هنا، ووقعتم العقد,جيتوا هنا، ووقعتوا العقد,0.8849901,Egyptian
في الحقيقة كانت ستكون فكرة رائعة,فكرة حلوة - اه، اه طبعا,0.8849853,Egyptian
أنا لست رجلاً عنيفاً,أنا مش راجل عنيف,0.8849839,Egyptian
"لدي أعين في رأسي و أذنان على الجانبين , قف",وعندي عينين في راسي واذنين علي الجنبين. قف,0.88497204,Egyptian
هل أستطيع أن أسألك سؤال شخصي؟,ممكن اسألك سؤال شخصى؟,0.8849602,Egyptian
أين قلت أنك عثرت على محفظتي ثانية؟,فين مره قلت انك لقت محفظتى تانى ؟,0.8849472,Egyptian
"أنظري, وعدتكِبالحقيقة، لذا ، وددت ان أقول لكِ الحقيقة.",شوفى، أنا قولتلك تعالى بالصراحة، طالما إنّى قولتهالك.. يعنى لازم أقولك الحقيقة,0.8849356,Egyptian
إنك تحتاج إلى مشروب,عاوز تشرب حاجة؟,0.8849261,Egyptian
! ماذا قال زملاؤه الطلاب؟,! ايه اللى زمايله الطلاب قالوه؟,0.8848887,Egyptian
‫نحن في الواقع لدينا حفل توقيع في نيويورك ‫يوم السبت إذا كنت ترغبين في الحضور.,احنا اصلا عندنا حفلة توقيع في نيويورك يوم السبت لو حابه تيجي.,0.8848665,Egyptian
لأني احب الاستماع له,و يعجبني اللي اسمعه اللي اشوفه,0.8848531,Egyptian
"لذا, ابق فقط بعيدًا عن طريقي.",خليك بس بعيد عن طريقي,0.88484836,Egyptian
"دكتور, أتعلم سبب إرسالك إلى هنا؟",يا دكتور، أنا عارف ليه انت هنا؟,0.8848355,Egyptian
إذاً ... ستذهب إلى نيويورك ؟,- (أيوه، إزاي أرجع تاني ل نيويورك؟,0.8848276,Egyptian
هلاّ أخبرتهم باتصالنا... مجدداً؟,هلا أخبرتهم باتصالنا... تانى؟,0.88482755,Egyptian
لقد قلت ما أتيت لقوله,كنت هقولها ايه,0.8848268,Egyptian
سعدت جدًّا بسماع صوتها مجددًا.,فرحت أوي إني رجعت سمعت صوتها تاني.,0.8847889,Egyptian
أنا سعيدة بعودة نظارتكِ إليكِ.,فرحت لك انك لاقية نظارتك,0.88478285,Egyptian
لقد جئت لكي أراكِ يا جدتي,- كويس وهاروح أقابل تاني جدتي.,0.88473976,Egyptian
أنا آسف يا رجل هذا خطأ ، لا,أنا آسف لو كان دا غلط,0.8847189,Egyptian
الحرارة الداخلية وصلت إلى 100 درجة وقد استُبدل الأكسجين في جسده بالهيدروجين,الحراره وصلت الميه درجه و اتبدل الاكسجين الهيدروجين بجسمه,0.8846796,Egyptian
أو ربما جرعه من الويسكي,استني شوية لحد ما تجربي اكلت النهاردة,0.884634,Egyptian
-أكان عليك ارسال سام؟,لا، و تلاتتكم اندخل سام؟,0.88463366,Egyptian
إنني أخبرتك أننا نحتاج إلى إجراء محادثات.,قولتلك إننا محتاجين نتكلم,0.8846196,Egyptian
ـ معذرةً، سيّدي، ممكن لحظة؟,- معلش يا سيّدي أقدر أاخد لحظة؟,0.884593,Egyptian
-لِنذهب ونرى ذلك المحامي,-تعالوا بنروح نشوف المحامي ده,0.88457394,Egyptian
"حسناً, اذا الشيطان لم يقل",طيب ولو الشيطان ماقالش,0.8845693,Egyptian
يا إلهي ماذا فعلوا بك ؟,هما عملوا فيكم إيه؟,0.8845577,Egyptian
يا رفاق ، تعالوا قابلوا جيراننا,يا جماعة تعالى نتعرف على جيراننا,0.8845577,Egyptian
عن ماذا ستتحدث؟,وليه ما بتتكلمش في الموضوع ده؟,0.8845554,Egyptian
الله أعلم، هل تذخنين ؟,ربنا يعلم، بتدخني؟,0.8845509,Egyptian
اعذرني ولكن هذه هي وظيفتي,أنا فاهم كده؛ شغلي مهم ليا,0.8845038,Egyptian
ربما يمكننا أن نساعد بعضنا البعض,علشان كده لازم نساعد بعضينا,0.88449425,Egyptian
لدينا منافس المقبل في قسم السيدات...,نجيبوا متسابقنا الجديدة في قسم السيدات...,0.88448614,Egyptian
ولكني لا أريد إهدائك هدية عيد الأب كل سنة,بس مش عاوزة أهديلك هدية عيد الأب كل سنة,0.88448024,Egyptian
لقد أردت أن أنقذ العالم,كنت عايز انقذ العالم,0.88445556,Egyptian
أود أن أعرفك على رئيس الولايات المتحدة الأمريكية,أيوة أنا عاوزك تقابل رئيس الولايات المتحدة الأمريكية,0.8844454,Egyptian
لا تغضب من أمك,لا متبكيش يا أمي لا متبكيش,0.88443637,Egyptian
في الواقع، قد أبقى معك هناك,يمكنك تبقى ليا,0.88434327,Egyptian
"لأن هذا المرض هو قادرة على مهاجمة أي جزء من الجسم في كثير من أشكال مختلفة, وقد تم تعيين مراكز البحوث حتى في جميع أنحاء الولايات المتحدة مع الأمل في العثور على علاجات جديدة ل هذا الطاعون المروع.",لأن دا المرض ممكن يهاجم اي حتة في الجسم بكتير اشكال كتير مختلفة، واتعمل مراكز بحوث ليه اصلا في معظم امريكا، علشان يطمعوا بالله انهم يلاقوا علاجات جديدة للوباء دا.,0.88434315,Egyptian
، فعلت كل شيء كان من المفترض أن أقوم به,عملت كل حاجة المفروض اعملها,0.88427824,Egyptian
الفريق الأول الذى سيعبر 800 قدم سوف يفوز,الفريق الاول اللى هيعدى 800 قدم هيكون هو الفائز,0.88425773,Egyptian
كنت مستيقظة طوال الليلة لأجل هذا,كنت هنا طول الليل,0.88425255,Egyptian
تعلمين ، شيئاً أسود أو رمادي ؟,بتعرفي حاجة أسود ولا رمادي؟,0.8842422,Egyptian
حصلنا ما يكفي لنا,أظن إحنا سمعنا قد ما يكفينا,0.8842331,Egyptian
-ماذا تُريدني أن أقول؟,ما تقولش لأ - تمام -,0.88422704,Egyptian
بإمكانك المحاوله ولكنك لن تنجح,ممكن تجرب بس مش هتنجح,0.8842234,Egyptian
مملكتى ليست فى هذا العالم,مملكتى مش موجوده فى الدنيا دى,0.88420784,Egyptian
كفى حديثاً عن العشب يا أمي اتعلمين ما الذي سافعله؟,كفاية كلام على العشب يا ماما تعرفي هعمل إيه؟,0.88419414,Egyptian
أتُمانعُ لو سألتك عن كيف أنتَ مُتأكد,لو انت متأكد .. فانا متأكد,0.8841798,Egyptian
نعم، قلت أن لديك شيء من أجلي,قولت إني هجبلكم حاجة,0.88417494,Egyptian
حسناً ... مالذي سنفعله نحن؟,طيب، ما هي خطوتنا القادمة؟,0.8841596,Egyptian
لا بد انه قال لك شيئا.,أهو ده اللى هو قالك,0.88415474,Egyptian
يجب أن تفكر في ذلك,كنت بتفكر فى الموضوع ده برضه,0.88415,Egyptian
لذا نحن لدينا بعض الوقت الان,بعدني عندنا وقت دلوقتي,0.8841487,Egyptian
ما الذي تفعله هنا بحقّ الجحيم؟,-ما تخش هنا أصلاً ؟,0.88414764,Egyptian
لقد رأيتها تبتسم هذا الصباح،,شوفتها بتبتسم الصبح دا,0.8841475,Egyptian
