original,translation,cosine_similarity
إبنته هي القائدة، أليس كذلك؟,و اية انت بتقولى ان بنتى عامله علاقه؟,0.75991523
شعبنا يحتاج للمزيد من العناية الصحية نحتاج للمزيد من التعليم,شعبنا محتاج اكتر من كده في الرعاية الصحية ومحتاجين اكتر من كده في التعليم,0.9271557
أنظر إلي يا أبي أنا هنا!,أنا اللى ها اطلع مش هاشوف ابى,0.84387404
لابد وأن هنالك خطب ما وفي الساعه الثالثه صباحاً، لقد أكتفيت من التحدث,ليه مش قالي من الصبح,0.8090402
‫بالنسبة لنا ‫يتم ترتيب الزيجات عن طريق العائلات,لكن كمان مهم انى اعمل أسرة.,0.69866323
رجاءً عُد إلى عملك - هذا عملي -,بجد محتاج أرجع شغلي,0.8822373
أعلم كم تبذل من جهد,انت عارف كويس لازم تعمل ايه,0.8528979
انا لست مستعداً ...لهذا النوع من الامور,مبعرفش، أنا بس مش مستعد,0.93273056
لست واثقاً من ذلك و لكني أعتقد أني سمعت صوت امرأة,أنا مش متأكد من ده بس بعتقد إني سمعت صوت ست,0.7836908
يبدو وكأن عربة الخبز القديمة تَهشّمت,لكن هى زى البيت القديم طايرة بميّة عرق وفيه ريحة,0.62114704
هل تثقينَ بي؟,ازاي ممكن أثق فيك؟,0.9184133
هل تعلم علام تضحك?,-عاوز تعرف حاجة هتضحكك؟,0.93769497
إنه لا يعرف عن ماذا يتكلم,هو مش عارف عاوز ايه,0.9126055
لأنها كانت تتظاهر أن كل شيء بخير من أجلك أنت وهذا ما كان يجب أن تفعله لأجلها,-اتقالي انك كنت على علاقة بيها,0.80053544
سأعمل لمدة 4 اشهر بلا مقابل؟,هاشتغل 4 شهور مجانًا؟,0.8959729
-لم يناديني بـأمي من قبل .,ما سمعتش (فاتني) أبدًا يكلم عن أبوه,0.79231143
لذلك أنا بحاجة لك التوقف عن القلق.,لذا احتاجك تقيف القلق.,0.8467698
سنكون معك في غضون لحظة,هترجع بعد دقيقة,0.8630272
وهي تمثل لي توق للذهاب بجرأة حيث لا يوجد رجل قد ذهب من قبل.,ده بيمثلولي شوق عشان أروح بأجرءة مكان ما مفيش راجل غيري راحله من قبل,0.77024305
"لا, نسيت أن أدفع الفاتوره",لأ، نسيت أدفع الفاتورة,0.95372003
هناك أناسٌ صالحون يتأذون بسببي,بحس أحيانا إني مجرم بسبب تسيبي لأهلي,0.7277895
لا ادري ولا اعلم كيف وصلنا هنا,ولا اعرف ايه اعمل,0.73233664
‫تمامًا مثل الجميع، أظن.,كل الناس كده - مش صح -,0.81369203
حسناً، سنراكِ غداً في الساعة 12 ظهراً إذاً,-متنساش غداك,0.8456468
ابقه هنا سوف اعود حالآً,استنى هنا، هرجع حالا,0.8922023
أنتِ لم تجيبي على السؤال أبداً.,"ما أعرفش, مافعلتش كدا أبداً",0.68068874
لكن الآن أعلم أن هذا جيد.,لازم اعرف انها كويسة,0.77644193
تعرفين بالضبط عن ماذا اتحدث,أعرف، ما تقصدش كدة,0.8885956
بالطبع هي لعبة، فالحياة لعبة,أكيد هي لعبة، فالحياة لعبة,0.99412364
وتلقيتُ البطاطا في منتصف الوجه,واتقبّلت البطاطا في نصّ وشي,0.8241813
. عمي ، لاتتوقف ، أذهب ولا تعود,ماشي يا عم اصبر، أطلعني لو سمحت,0.79027474
♪ إذا كان يمكن أن يكون الجلد الثاني، أنا ربما اللباس فيكم ♪,بتفكر في ايه أنا زيك,0.79730666
- هو شرطي أيضاً.,اسمعي .. انتى عارفة الشرطي دة.. هو عندة عيلة ياا,0.8403905
بوسعكِ إرسالي إلى أيّ مكان كالجحيم إذا أردت، ولكنك لن تقتل هذه العائلةِ اللّيلة.,طيب لو أنا آثم وأطلب المغفرة,0.7012411
أنظري - ماذا؟,-عايز ايه؟,0.7994881
أنا لا أعتقد أنك يمكن تغييره في هذه المرحلة .,ما أظن انك تقدر تعملها.,0.7699077
لكن استطيع ان أعدك بإن... سيكون مازال لديك عائلتك، و عندما حين الوقت،,لكن أقدر أوعدك ان... هتفضل عندك أهلك، و لما يحين الوقت،,0.84840304
إنها لا تمتلك حسابا بنكيا,هي مش عايزة تعمل تاني.,0.6195003
وهذا هو كل بأنني أنا,بس أنا كل متحمل و كل حاجة,0.8180276
إن لم تكن العقيدة حقة هنا في اليابان، كما هي في البرتغال.,لو العقيده دي مش حقيقيه هنا في اليابان زي ما هي في البرتغال,0.65391576
لا أظن هذا صواباً,مش شايف ده صح,0.85346246
نحن لم نأت إلى هنا لأن أحدا هاجمنا,إحنا هنمنعكوا البقاء هنا,0.74566233
كل ما أحتاجه وجه جميل لمساعدتي للوصول الى هناك,كل اللي عايزه وش حلو يساعدني اوصل هناك,0.7700459
المشكلة أننا لا نعلم من هى,- مش عارف ايه هي.,0.86404514
ولا يوجد سبب في الا تذهب النساء الي الكلية,يعني يا جماعة طبيعي إنها تكون أحسن دبدوبة في المدرسة,0.5707253
وهذا أفضل لكِ أكثر من العيش معنا,ماحبش افضل هنا بروحي,0.80392826
ثم قلتِ: أنتَ الذي لا يوقفني,بعدين قلتي: انت اللي مش بتقفني,0.92511874
لا تدعي ذلك الكلب يخرج عن المنزل بغض النظر عما ستفعله السيدة (كيني),متسبيش الكلب ده برا البيت مهما السيدة ( كينى ) هتعمل,0.82466316
"لو اطلقتم النار, ستكونوا مسئولين عن حياة هؤلاء الأبرياء",والله محسسنيش اني هقدر استلف مسدسك؟,0.6918595
أسرعا ! -أجل، أحدهم أعطاها الكافيين,علشان اقو لها,0.8079814
-لا ندري ما يحدث بداخلها,أنا مش عارف أعمـل إيه.,0.76967007
أنا دائما أرافق أبي إلى هذه المؤتمرات للتصرف كالمترجم,أنا دايمًا بروح مع أبويا المؤتمرات دول و بكون أنا المترجم,0.72619045
الناس لا يتشاجرون للزواج نعم – انتظر حتى تتزوج,هما .. على الارجح لسه في شهر العسل دلوقتي.,0.65578604
إذا لماذا تبدو مثل كاميرون عندما كان صبيا ؟,ايه ده ليه انتي شكل كاميرون ايام ما كان صغير؟,0.8886359
وعلمتِ ان ذلك لن يحدث ابداً,وأنتي عارفة ان دا مش هيحصل ابدا,0.8647158
ربما يكون هناك شيء في جهاز طهي الأرز ذاك,حتما في حاجة طهي الرز دي فيه حاجة,0.7481279
ليز ، وأنا لا أعتقد أنا أول واحد من الذي بدا في الذاكرة الخاصة بك.,لاء و أنا ما بأفتكرش اني أول واحدة بتبقى فى دماغك.,0.8039269
لا أعرف لماذا قلت ذلك.,أنا مش متأكد أني كنت بحكي معاك,0.8102543
فمن الممكن انه سرق مسدسا من عميل,من الممكن إنه سرق مسدس من عميل,0.9932771
أنا أبحث عن محرّر الصور,أنا ميستنيش يكون فيه كاميرات هنا,0.7117657
أتذكرالإتّصالبها، لكنّي...,) دى اللى كنت عايز اعرفها!,0.7666314
سنقوم بأخذ سفينة الشحن التى حضرت بها,طيب لازم نجمع شنطتك عشان نسافر من هنا,0.8169219
هذه ستكون أول مرة ان كان لديك أي وقت مضى الجنس مع رجل متزوج.,لا لا ده أول مرة,0.67333245
هذا ما أحاول القيام به:,أنا بـحاول أعمل الصح هنا,0.8480184
سأجعلها تبيع جواهرها سأجعلها...,قوللها إني عاوزها تكون مبسوطة,0.71295595
أنت تحاول تحطيم عائلة,مبتحطيش نفسك كل الحاجات دي,0.7182429
إنني أخبرتك أننا نحتاج إلى إجراء محادثات.,قولتلك إننا محتاجين نتكلم,0.8846196
لقد قابلتك للتو وانا...,ميرسي انك قابلتني,0.85308975
والدي محظوظ لحصوله على أحد مثلك كموظف عنده,والدك صاحب حظ على وجود موظف زيك عنده,0.92814785
كنت تشرب الكثير، يمكنك ارتداء الأزياء مجنون.,كنت بتشرب كتير، تقدر تلبس الموديل الجنون.,0.87901783
أنت لم تظهر حتى في يوم النصر.,انتي حتي م سألتيش عن رايي,0.72228014
"محليون , امريكان , من المحيط الهادي .. ألخ وبالطبع الافريقين الامريكين",محليين، أمريكان، من المحيط الهادئ، إلخ. وبالطبع الأفارقة الأمريكيين,0.96532595
هذا جعلكِ تفكرين بي؟,انت فكرت انك هتروح لما شيلت ظهري؟,0.8185659
لا أهتم بما سوف تفعله.,بجد مش يهمني,0.7857685
لن يساعدونا على الخروج,انت مش قادر ترد عليا,0.7460109
لا.لا.لا.لا,لا، لأ، لأ، لأ.,0.9542565
-لا استطيع ان اتحدث معك,أنا مش قادر على كده,0.81444407
أعتدت أن أكون شجاعه - ماذا حدث؟,وانا اختارني عشان اعملها مش حد تاني لأ أنا!,0.7098202
لقد كُنتُ أطرح أسئلَة لكنَ الشخص على المكتب الكبير قامَ بطرقِ ذلكَ الشيء و صرخَ بي,كنت مبسأل أسئلة بس الراجل على المكتب الكبير ضرّب التكة دي صوّت و زق فيّا,0.78554034
لا، لا أتوقع ذلك,لا مش متوقع دا,0.8652961
هل تريد ان ترى شقتى؟,لقيتي الشقة كده؟,0.8291979
من يريد أن يسبح ؟,اه انا مب بحب اسبح فى اخر حاجة فى البسينين,0.84813267
-هل رأيت من كان؟,تفتكر إيه كان ده؟,0.84199095
-أنه هنا من أجلي ليس من أجلك.,بس أنا مش عايزك تاخده هناك هو مش حيعجبك,0.8023232
"عن ماذا تتحدث , كميتان من مائة رطل؟",إزاى كده إنتى عملتيه؟,0.735206
هل تتذكر إذا كان توني منزل معك؟,اتذكر لو توني كان معاك في البيت؟,0.94902575
أنا آسفة - ماذا ؟,أنا أسفة لو متأسفة,0.95143044
القرن العشرون سيجلب إلينا الانسجام، السلام و سيجلب لنا الضوء,القرن العشرين هجيب النا وفاق، سلام وهجيب النا النور,0.726013
اعتقدت أني أنظر إلى مشهد رومانسي.,دلوقتي دا اللى بتسموه قصة حب,0.684571
لو أنّي أخبرتك أننا علينا أن نُغادر الآن هل ستتبعني ؟,قلت أهوّة ليه ما كنتش ترجع هنا ورا ما مشيت لو ماكنش في حاجة,0.78665674
للتو قابلتـه في وقت سابق من اليــوم,وّرينا اللى عايزين نعرفه.,0.8234619
كيف لم أعلم بأنك متزوج ؟,-انت ازاى عرفت تلاقينى فين؟,0.7075119
هل حدث شئ من هذا من قبل ؟,آخر مرة شفتهم امتى؟,0.64830774
استيقظت للتو والآن أنها تريد العودة إلى النوم؟,صحيت دلوقتى وهى عايزة تنام تانى؟,0.7308398
الذين سافروا مع موسى (ع) عبر البحر,اللى سافروا مع موسى (ع) بحر,0.9504432
...قتلتُ الكثير والكثير من الناس في أيامي الأولي,...قتلت كتير وكتير من الناس في أول أيامي,0.9665798
-ذلك لم يكُن خطأي، فقد كان حادثًا .,- ده مش غلطتي كان حادثة,0.9823992
"ولكن ياأمي, إنك مثل أسرع شخص على وجة الأرض",بس يا أمي، إنتي زيي زي أسرع واحد في الدنيا,0.9178444
ربما كنت أرغب بكِ طوال هذه السنوات,كنت ناوى اكلمك,0.798717
حسناً لكن الآن ليس وقتاً جيداً لذا هل يمكنني أن أتصل بك لاحقاً ؟,تمام بس دلوقتي مش وقت كويس يعني ممكن اتصل بيكي بعدين,0.83637905
-هي كانت تُحاول الحصول عليك لتجريم نفسك,هي كانت بتحاول تمسكك علشان تجرم نفسك,0.9105201
أن يكون رئيس قسمنا قد تكون تلك خطوة لمدة سنتين بالنسبة له,ان رئيس قسمنا ده ممكن يبقى اتنيتين ليه من فترة ما,0.8164088
هذا منطقي ، أعتذر، إنك ستأتين معي,ده منطقي، أنا أسف، أنت هتجيله معايا,0.8500794
غابريل) أرسل ملائكةً ليقتلوا الطفل,وعشان كده محناش قادرين نقتله، عشان ارواحه التسعة,0.60172385
-لن ندعك تستغلّنا ثانيةً,إحنا عايزين نتجنب ده,0.79943687
حتى أننا نكره نفس الشخص,ما بديش الناس تكرهك كمان,0.72119784
حسبتني سأفاجئك,هتكون مفاجأة .,0.9155034
أريد منك أن تنضم إلينا ... . اريدك أن,أنا فاكرك قدرت تقابلنا هنا,0.7354719
،إذا كُنتِ تُريدين قتل نفسك لماذا اتصلتِ بنا أيتها اللعينة؟,كنتي متعوضة ايه لما هتقوليله بكل كدبك او بالموات اللي جتيبيها عليه؟,0.7672454
ماذا تُريدون على العشاء؟,بس أبعتلكم العشاء مش حايتأخر,0.7755175
لم أعطِك الفرصة أبداً,- مافيش فرصة ليا أبداً,0.7696362
منذ يوم وفاتها وهو باردٌ تجاهي,وانا عارفة عنو اني فاكره أنه مات من سنين كده,0.7225496
"إنهم يحتاجوني, إنهم يحترموني",تمام، هما يقدروا يعملوا اللى هما عايزينه السبب انهم هما اللى هما عليه,0.786651
هل تشعر بتحسن حول ما تحدثنا عنه؟,فكرت نحنا بنتفاهم، بتفهمي؟,0.7007978
"حسنا, يبدو بأنك مشغول.",انتي دايما مشغولة الايام دي,0.924472
استماع، كنت سرقة شقة أن هذا الصباح لأنني أحتاج المال للذهاب إلى ولاية أوهايو,ما كنت جايبه خاتمي امبارح علشان ادفع ايجار,0.67413276
"هل أنتَ بخير , أبقى معي",-يامّا، إنتِ كويسة؟,0.8230012
ألم تذهب إلى الحفلة بعد؟,هتروحلى حفلة العيال بكرة؟,0.7886175
نحن سَنَحتاجُ مركب أكبر، صح؟,احنا هانحتاج مركب اكبر، صح؟,0.9268202
إنها واحدة من أعظم معجزات الحياة,دي واحدة من أعظم معجزات الحياه,0.96970534
خذ هذا السيف، والذي أمنحه لك بمباركة الرب، والذي بقوة الروح القدس سيمكنك به مقاومة وقهر كل أعدائكَ.,خد السيف ده اللي باركهولك الرب، واللي بقوة الروح القدس هيساعدك تقاوم وتغلب كل أعدائك.,0.93607706
ولكن مازال لدينا فرصة لتأمين مستقبلنا ونبدأ بإتباع مسار جديد للحياه,لكن لسة فيه فرصتنا لتأمين مستقبلنا ونبتدي نطوّر مسار جديد للحياة,0.8383348
أتمنى، بشدّة، بأنني من البدايَة عرفتُ حقيقَة والدي بحيث يُمكنني أن أُوقفُه.,كنت أتمنّى جداً إني من البُدايَة عرفت حقيقة أبويا عشان أقدر أوقفه,0.9206291
"المعذرة , اسمحوا لي دعوني امر من هنا",لو ممكن تعذروني شويه,0.8529357
كان يمكنه المشي وقتها,كان ممكن يمشي وقتها,0.9632615
لا أريد أن أرى إمرأة مرة اخرى في حياتي,أنا مبسوطة بس أني لاقية فرصة أبدا من جديد,0.67059153
إنه قد يكون أبانا ... لكنبعد32سنة إنه لا يعني الكثير، أليس كذلك؟,هو ممكن يكون بابا ... بس بعد 32 سنة، هو عايزة إيه يعني؟,0.86620975
لا أعلم إن كنت أريد أن أعرف,يالا مش عارف، مش عارف,0.8477793
اللعنة عليك لقد أرسلت إليك بطاقة تهنئة أيها القذر,بس بتقولي كدة علشان شايفة إنك هتاخدي,0.79383874
"لست مختلفاً, أنت ترتدي ملابس مختلفة فحسب",مش مختلف، بس لبس تانى غير,0.8253244
"يا لها من مصادفة, وأنا كذلك",يا لها من مصادفة، وانا بقى كده,0.9198952
الطقس يُخيفني أكثر .من شيطان ما,الطقس يخوّفني أكتر من الجن,0.8156065
لا ترتكبي غلطة ستندمين عليها لبقية حياتك,متعمليش غلطه هتندمي عليها طول عمرك,0.87403965
عندما يبتسم شخص ما حقاً، فإنّ عيونهم تتجعّد.,طيب، ايه نوع الابتسامة ده؟,0.8071422
الشعر يقف على ركبتي,الشعر واقف على ركبتي,0.966311
- هَلْ قَتلَ أطفالَه؟,حسك انه هو حاول قتل اخوه؟,0.8227722
...قلبي يتمزق أيها الملازم,...قلبي بيتقطع يا صاغ,0.7572762
سأسألك سؤالاً شخصياً للغاية,هاسألك سؤال شخصي أوي,0.90368783
إلى مكان لا يستطيع أحد إيجادك فيه,لمكان ما حد ولا حد يقدر يلاقيك فيه,0.73539364
انظروي ، انه يريد ان يتعرف بفتاة فيتنامية جيدة,- هو مع حبيبته الجديدة الچابانية اللي متغطرسة,0.63292104
إنه ليس دافئاً كما أملنا الليلة.,ده عن ان احنا ماوقفناش ارتفاع درجة الحرارة,0.7270402
-إذاً فأنت لا تريد العلاج,إنتَ مش مضطر تقبلها..,0.7594945
كلا كلا، نحن لا نعمل سوياً هذه المرة,إحنا مش عايزين شركاء تانيين,0.7797957
ليس لديك فكره عما يجري,لأن إحنا مش عارفين أصلاً إن في,0.83105886
أعد المفتاح في طريق عودتك,خد المفتاح لمّـا ترجع,0.9239346
أنت! إتبعني لنتحدث للحظة.,عايز أتكلم معاك,0.8256316
ذلك ماحاولت ان اكتشفة بكاميرتي,ده إللي حاولت أكتشفه بكاميرتى,0.88858306
و الآن لا أعلم ماذا أفعل,أنا لسة مش عارف حياتي هتبقى إزاي,0.71123904
حسناً ، إنهن يكرهنْ إستخدام طفل هكذا,لا لا لا لا ده مش مقبول,0.6699393
لبقية حياتك و حياة عائلتك,حياتك دلوقتي هنا... معايا,0.79652023
أنا أنا لا أحد لقد التقيته للتو,و مش عايزه اعرفك و لا اعرف حاجه عنك,0.77481955
-هل تتاجر بالثلاجات حقاً؟,تمام، لو كانت بس فسحة براح، ممكن تدخل الثلاجة ترتاح جوه!,0.7362033
"حسنا,سوف أقرأه أربع صفحات من كتابك الليلة",تمام هقرألك منه اربع صفحات النهارده بالليل,0.85219693
أتقول أنه لا يمكننا تشغيل الموسيقى؟,مين يهمه ايه، لازمة ايه، موسيقى عادل، تعالوا نعملها الاولى!,0.6491937
لا أطيق الإنتظار لأرى من سيفوز.,أصلا محسبتش إني هنفوز النهارده,0.6915093
الآن دليل، من الناحية الأخرى، الشّيء الذي، بِالتعريف، مرئي.,الحين الدليل من جهة تانية هو الشيء اللى ببساطة هو مرئى.,0.91897255
انا اعلم ما بقلبك,أنا عارف اللي في قلبك,0.96709853
لقد قمت بتحويل صورة الحزب كما كان والدك يحبه,مصدّرتلك صورة الحفلة زي ما أبوك كان بيحبه,0.7933138
نعم، فى الطابق العلوى، وهو يعطى دروسه النظرية فى الطابق السفلى,أيوة، فى الدور العلوى وهوه بيدى دروسه النظرية فى الدور الارضى,0.93619347
جين، هل سجلتِ اي دليل من مسرح الجريمة؟,جِنْ، هاتى حاجَة مِن مسرح الجريمة؟,0.74338084
- تسعدني رؤيتك,- أسعدني التعرف عليك أوي.,0.9369697
كان هذا رائعاً بالتأكيد و أشكركم شكراً جزيلاً,صحيح ده كان تحفه وعندى ليكم جزيل الشكر,0.8519709
إنهم خلفك إنهم يشعرون وكأنهم يعرفونك,هما هنعرفك,0.86599666
-الزعيم يحب أن يشير لنفسه كشخص ثالث,يعني مين اللي يتكلم كده لشخص من ده,0.6967093
"نعم , نعم , سيدي - أنه يقوم بعمل مذهل -",آه، آه، يا باشا - هو بيشتغل كويس -,0.88573265
اليوم، وسأخبرك لماذا,قوليلي بس أنا اعملى إيه,0.7255114
ماذا تنوي ان تفعل الان؟,اية، اية ممكن تعمله,0.7333551
و لكن خلف ألمانيا و فرنسا و بلجيكا و اليابان و الصين,و بس ورا ألمانيا و فرنسا و بلجيكا و اليابان و الصين,0.96552336
سأعود إلى (هاواي) ليلة الغد,هارجع هاواي بكرة بالليل,0.77208465
أنت هناك وقت العودة للمنزل,عايز بس أرجع البيت,0.8765015
وإذا لم تمانع القول هذه صورة جميلة لزوجتك,اعملوا كده عشان خاطري يا صاحبتينا,0.7570946
وهو يرى الأشباح في كل مكان,هو هما عاوزينك تبصوا شبح فى كل حتة,0.74017775
لن يكون عليك ذلك، لقد إنتهى الأمر تقريبا يا جاك,أصح، خلاص بقى، العرض خلص,0.7365898
فقط أردت أن أخبرك بأني هنا مع رجل حقيقي,انا بس كنت عايزه اقولك اني هنا براجل اصلي,0.77347803
هناك أكثر من وسيلة واحدة لخسارة ابن في الطلاق.,فيه أكتر من طريقة تخسري ابنك في الطلاق.,0.7985099
أنا بدأت تقلق أنك بالفعل أربعة ساعات خلف لي هذا الاسبوع.,ستي لسه هفضل حوالي أربع ساعات كملتي وهتي روحك ع البيت,0.7516309
‫أعني أن هذه هي المرة ‫الأولى التي لمسنا الأيدي,كنت بفكر ازاي اتقابلنا اول مرة,0.7930399
- لكن حينها لن أحتاج إليه,- لاني ما شوفتش حاجة,0.77176607
ولكن أنا كل مواطن صلب وكل شيء,بس أنا كل متحمل و كل حاجة,0.7578033
انا اقول ان .. هذه الشراكة,أنا بقول ان.. الشراكة دي,0.9098091
ينبغي أن تنتقل للعيش معنا.,نحنا دايما بنبقى منتقلين، بنتحول من بيت لبيت,0.75698394
مظهر سننا سيئ. مثل سجادة ملطخة فى غرفة انتظار.,مظهر سننا وحش. زى سجادة ملطخة في أوضة انتظار.,0.8530433
...أيمكنني- سأحضر لك كيسا-,عاوز أدعيلك على شراية,0.8541199
لكنه من المهم لي بأن أحظى بعائلة.,لكن كمان مهم انى اعمل أسرة.,0.88931274
أنا أسفة ماذا كان السؤال؟,أنا أسف، إيه ده؟,0.81614846
أنظر، كلَ ما لديَ هو 20 دولاراً، حسناً؟,ايوه، ما لبستش البنطلون ده من زمان، لاقيت في جيبه 20 دولار.,0.777639
- أعلم أنك تكرهين الأطفال... - أنا لا أكره الأطفال,ما بديش الناس تكرهك كمان,0.7008265
مثلاً، النجاة في البريّة؟,مثلاً النجاة في البرية؟,0.9904984
بإجمالى حوالى 60 ألف يهودى سُلّموا إلى الألمان,حوالي 60 ألف يهودي تم تسليمهم للألمان.,0.9648105
لا تخبرني أن حياتهم فوضوية!,متقوليش حياتهم عشوائية، لا,0.71395785
لذا يمكنك كتابة أدوارك الخاصة فحسب.,وعشان كده تقدري تكتبي حوارك خاص انتي.,0.750973
-ومتى موعد الجنازة؟,-وإمتى الجنازة؟,0.9585117
هذا الموسم المذهل لم ينتهِ بعد.,ده الموسم المذهل ده كله و لسه لمّا خلص.,0.77676314
"لا شىء ضخم فى الحقيقة فقط , كمثال",مش مهم كدا كدا كتير,0.6927346
تعال والقي نظرة,هيّا نلقي نظرة على ده ولا إيه؟,0.8272683
أخبري والدتي أن تتصل بي فور عودتها للمنزل,بعد الساعة الحدا عشر بدقيقتين تتصل بيها أمها,0.81051534
تضحية مؤجلة أكثر قوة... .,الانتصار واقف على ضهر التضحية,0.86354744
اعيدوني الى السجن لا بأس,ارجعوني السجن مش مهم,0.8909877
أنت تتصورها عارية أليس كذلك؟,ده غريب... قالت انك روحت لحد البرة تتغدى ومكنتش تعبان,0.6259899
-لم أكن قد ولدت بعد وقت تحطم السفينه,-أنا م كنتش اتولدت وقت ما السفينة غرقت,0.9145865
أنا فقط أمر بيوم سيء,عندى يوم مجنون بكره.,0.77973545
اذا،هل قمت بالحديث مع والدك وطفل العروس مؤخرا؟,إنت اتكلمت مع ابوكي وطفل العروسة من فترة,0.8627159
"الضحية هي,كايلا جيفرسون عمرها 19 عاما طالبة جامعية محلية",الضحية هى كايلا جيفرسون طالبة محلية عندها 19 سنة,0.9792648
حياة جديدة تنتظرك بـ فيينا,حياة جديدة بتستناك فى فيينا,0.9442097
نعم ، لقد شعرت بأنه خطأ بطريقة ما,اه، كان عندي احساس أنه غلط بطريقة ما,0.97194666
أنا أعرف من قتل اخوك,أنا عارفة مين انتي كمان,0.7816583
تعاملت مع المئات من جرائم القتل وأقارب الحزن التي تذهب معهم.,مححدش كان فكر فى الضحايا، وبشكل خاص الستات و العيال,0.6852173
"حاولي البقاء هدئه, ما أسمك؟",هدي نفسك، إيه أسمك؟,0.8392993
أنا بحاجة إلى معرفة من الذي خلق لك.,ازاى، انت عاوزنى اصدقك انك انت اللى اخترعته..؟,0.69217867
ماذا تعرفون أيضاً عن هذه المرأة؟,من امتى وأنت عارفها؟,0.75086176
"لا يُمكنني سماعكِ, ارفعي صوتكِ.",لو بتسمعني ارفع ايدك,0.75730705
حسناً ، رائع أن أعرف دائماً ولكن هذا ليس سبب وجودي هنا,أنا مش شغال بقال كتير.. مش كده بس.. مش كده بس,0.7471745
"تعلمين , بإمكاننا أن نرى مسرح الجريمة",يعني إحنا في المسرح اللي حصل فيه الجريمة,0.77431
تعلمين بإنه لا يمكنك الكذب علي أنا والدتك,انتي عارفة ما تقدرش تكذبي عليا أنا أمك,0.80667514
لقد رآها تعمل فى الفنادق,شوفتها كانت بتشغل فنادق,0.8584634
"ليس هذا فقط, المرأة التي احببتها ولاجلها سافرت بكل البلاد تفعل شيئاً فظيعاً على القارب",مش بس كدة، البنية اللي حبيتها وسافرت لها كل البلدان بتعمل حاجة وحشة أوي في المركب,0.71712625
أوه، نعم، أنا نفسي تملق أن أي سيدة شابة سيكون سعيدا أن تكون عشيقة لمثل هذا المنزل.,على الرغم من انها مستمتعة بالبيت,0.75412285
-كأس من الماء لو سمحت ؟ -بالتأكيد,عاوز تشرب حاجة؟,0.82025874
هل يسمح الجنود للعمل من هذا القبيل,هل الجيش بياخد فى الشغلانة دى,0.793577
"كما تعلم, لم أعرف إن كان يجدر بي إخبارك",- مش عارفة، كنت بتقول لي.,0.83103216
أنت فقط اخترت البيت الخاطئ في اليوم الخاطئ,يمكن عشان بتبص فى المكان غلط,0.7227193
-ملائمة للظروف -ماذا ستفعلون لهؤلاء الأولاد؟,طيب ما تخلينيش اكلمهم؟,0.72365475
أرى أنك قد تخلت عن دراستك.,أنا عارف إنك نسيت تعاملاتك الاجتماعية,0.7104217
أناأحبك،وأريدالمال.,بحبك وبحب الفلوس.,0.6904592
إن أردت شراء منزل سأرغب في الجدران,أشوف البيت أد الحاجة اللي ممكن تبيعيه,0.7206677
يكفي لنقله وطاقمه كله إلى أسفل.,هيفضل محلوه,0.75432926
الرياح تتجه للجانب المناسب,الرياح بتدّور علينا,0.86013114
هُنالَك حريقٌ في بطني يجب عليّ تغذيتهُ,"على الأقل أوفر لمك, أوفر بطني.",0.7781898
لا بأس سيكون بخير,طبعاً يا جدع هو على ما يرام,0.89325005
لا تترك هؤلاء الكاذبين (تشارلز),متكذبنيش تاني - بيهزر ايه ؟,0.7375387
هذا سبب أنها تشبهني مع شعرٍ طويل.,دي السبب انها شبهتني ليا بشعر طويل,0.8632076
والإجراء بأكمله يستغرق حوالي إسبوعين.,وكل الاجراء بياخد حوالى اسبوعين.,0.89468324
و لازلتم هنا خمس دقائق,مفيش وقت يكفي لخمس دقايق لواحد,0.8024963
لا تكلمها هكذا,- قولتلك مش عايزها,0.85241264
لذا بقايا الباب أغلقت، طالما ننهي مشروباتنا,وعشان كده باب البقايا اتقفل مالمّا خلصنا مشروباتنا,0.8840288
ومع ما تمرين به، يجب أن يكون لديك شخص ليكون معكِ.,هيكون لازم انت معايا لغاية كدة.,0.73822737
ابنتك تتلقى دروس تمهيدية للطب في (نيويورك),بنتك بتاخد دروس تمهيدية للطب في ( نيويورك ),0.98662066
أمّي، هل يمكنني الذهاب إلى رحلة التزلّج ؟,ماما، ممكن أروح الجولة اللي للتزلج؟,0.95413435
كان هذا مضحك ربما لمره واحده، قبل نحو خمس سنوات,كان ده مضحك يمكن مرة وحده، من حوالى خمس سنين,0.9273989
أجد صعوبة في تصوّر أيّ من هذه الحيوانات,برضه لقيت صعوبة اتخيل واحد من الحيوانات دول,0.81470764
تعلمين ، شيئاً أسود أو رمادي ؟,بتعرفي حاجة أسود ولا رمادي؟,0.8842422
لن أقتل الملك حتى قبل أن يُصبح واحدًا.,ده بيني وبين الملوك,0.7203075
ضع ذلك في جيبك.. قريباً من قلبك,حطها في جيبك.. جنب قلبك,0.9735192
لم أستطع أن أتظاهر بأنني لا أعرفكِ,ما أعرفش مُعتقدش اني كنت عايزه اشوفك,0.76240534
عيد ميلاد أمي كان في اليوم السابع من الشهر القمري الحادي عشر.,عيد ميلاد مامي كان يوم سبعه من الشهر القمري الحادي عشر.,0.9249004
واعتقد انه قد يعصر شخصا ما للحصول على اعتراف سواء كانو مذنبون ام لا,ماااعترفتش ليه أصل لو كنت مذنب؟,0.8475384
لم تكن تريد أن تكون عالمة,مش بعملها دي عشان التسلية.,0.5805144
لكن في المقابل يجب أن تخبرني بمكان هذا الهاتف الخلوي,في أوضتكم تليفون,0.80968684
